XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X                            X
X                            X
X  XXXXXXXXXXXXXXXXXXXXXXXX  X
X  X                         X
X  X                         X
X  X                         X
X  X                         X
X  X                         X
X  X                         X
X  X                         X
X  X                      X  X
X                         X  X
X                         X  X
X                         X  X
X                         X  X
X                         X  X
X                         X  X
X                         X  X
X                         X  X
X                         X  X
X   XXXXXXXXXXXXXXXXXXXXXXX  X
X                            X
X                            X
X                            X
X                            X
X                            X
X                            X
X                            X
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
