XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X                            X
X                            X
X                            X
X                            X
X    XXXXXXXXXXXXXXXXXXXX    X
X             X              X
X             X              X
X             X              X
X             X              X
X             X              X
X             X              X
X             X              X
X             X              X
X             X              X
X             X              X
X             X              X
X             X              X
X             X              X
X             X              X
X             X              X
X             X              X
X             X              X
X             X              X
X                            X
X                            X
X                            X
X                            X
X                            X
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
